sec6-res-util-lego-c4m2,,790,,lego,,1,,519,,558,,50,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,792,,lego,,1,,519,,556,,48,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,794,,lego,,1,,518,,556,,48,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,797,,lego,,1,,519,,556,,48,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,799,,lego,,1,,519,,558,,50,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,801,,lego,,1,,519,,558,,50,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,804,,lego,,1,,520,,563,,55,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,806,,lego,,1,,518,,550,,41,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,808,,lego,,1,,519,,578,,70,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,811,,lego,,1,,520,,584,,76,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,815,,lego,,1,,520,,986,,552,,1.0,,[[0 0 1 6]
 [2 2 2 2]]
sec6-res-util-lego-c4m2,,832,,lego,,1,,522,,952,,480,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c4m2,,848,,lego,,1,,522,,995,,582,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c4m2,,866,,lego,,1,,519,,1010,,573,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c4m2,,885,,lego,,1,,519,,598,,90,,1.0,,Cannot locate exact four board corners, probably because of occlusion
sec6-res-util-lego-c4m2,,888,,lego,,1,,519,,564,,56,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,891,,lego,,1,,519,,569,,61,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,894,,lego,,1,,522,,565,,57,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,896,,lego,,1,,519,,555,,46,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,899,,lego,,1,,519,,563,,55,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,901,,lego,,1,,519,,554,,46,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,904,,lego,,1,,520,,553,,45,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,906,,lego,,1,,520,,555,,47,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,908,,lego,,1,,519,,553,,44,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
