sec6-res-util-lego-c6m2,,1611,,lego,,6,,585,,632,,57,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1614,,lego,,6,,584,,631,,56,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1616,,lego,,6,,586,,632,,58,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1619,,lego,,6,,584,,632,,57,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1621,,lego,,6,,584,,622,,47,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1623,,lego,,6,,584,,630,,56,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1626,,lego,,6,,584,,632,,58,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1628,,lego,,6,,584,,629,,54,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1631,,lego,,6,,584,,631,,56,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1633,,lego,,6,,587,,635,,60,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1636,,lego,,6,,583,,630,,61,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1639,,lego,,6,,584,,630,,56,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1641,,lego,,6,,583,,629,,55,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1644,,lego,,6,,583,,629,,54,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1646,,lego,,6,,585,,635,,61,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1649,,lego,,6,,584,,643,,69,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1652,,lego,,6,,585,,638,,63,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1654,,lego,,6,,588,,649,,75,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1657,,lego,,6,,585,,1057,,583,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,1676,,lego,,6,,587,,1063,,576,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,1694,,lego,,6,,586,,1052,,577,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c6m2,,1712,,lego,,6,,585,,646,,72,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1715,,lego,,6,,585,,640,,65,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
