33	1541131484.309493	1541131484.310438	-1.000000	1541131484.453619	1541131484.453996	1541131484.454301	1541131484.454771
34	1541131484.547883	1541131484.548839	-1.000000	1541131484.678120	1541131484.678527	1541131484.678817	1541131484.679265
35	1541131484.843921	1541131484.844962	-1.000000	1541131484.982926	1541131484.983276	1541131484.983538	1541131484.983954
36	1541131485.047912	1541131485.048883	-1.000000	1541131485.220001	1541131485.220465	1541131485.220761	1541131485.221202
37	1541131485.307897	1541131485.309005	-1.000000	1541131485.472285	1541131485.472699	1541131485.472980	1541131485.473428
38	1541131485.538507	1541131485.539527	-1.000000	1541131485.694852	1541131485.695224	1541131485.695497	1541131485.695895
39	1541131485.845196	1541131485.846628	-1.000000	1541131486.044310	1541131486.044692	1541131486.044987	1541131486.045435
40	1541131486.119459	1541131486.120483	-1.000000	1541131486.318421	1541131486.318785	1541131486.319064	1541131486.319523
41	1541131486.379793	1541131486.380665	-1.000000	1541131486.548951	1541131486.549286	1541131486.549575	1541131486.550039
42	1541131486.620500	1541131486.621449	-1.000000	1541131486.829010	1541131486.829340	1541131486.829619	1541131486.830075
43	1541131486.892047	1541131486.893132	-1.000000	1541131487.069451	1541131487.069785	1541131487.070055	1541131487.070479
44	1541131487.136827	1541131487.137840	-1.000000	1541131487.356115	1541131487.356448	1541131487.356742	1541131487.357152
45	1541131487.488845	1541131487.490091	-1.000000	1541131487.720560	1541131487.720940	1541131487.721204	1541131487.721649
46	1541131487.798927	1541131487.799934	-1.000000	1541131488.013099	1541131488.013527	1541131488.013790	1541131488.014249
47	1541131488.109680	1541131488.110613	-1.000000	1541131488.269831	1541131488.270274	1541131488.270582	1541131488.271017
48	1541131488.344829	1541131488.345670	-1.000000	1541131488.548027	1541131488.548310	1541131488.548572	1541131488.548967
49	1541131488.613808	1541131488.614872	-1.000000	1541131488.832914	1541131488.833221	1541131488.833461	1541131488.833864
50	1541131488.931565	1541131488.932882	-1.000000	1541131489.158753	1541131489.159038	1541131489.159329	1541131489.159695
